"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"envelope"	 		"Type         "	"envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:40:07	 		"Time         "	01:40:07	 
"X Scale      "	1.00e-02	 		"X Scale      "	1.00e-02	 
"X At 0%      "	4.72e-02	 		"X At 0%      "	4.72e-02	 
"X Resolution "	2.500000e+01	 		"X Resolution "	2.500000e+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5.0e-01	 		"Y Scale      "	2.00e-02	 
"Y At 50%     "	1.34e+00	 		"Y At 50%     "	-8.00e-02	 
"Y Resolution "	2.500000e+01	 		"Y Resolution "	2.500000e+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

4.72e-02	2.94e+00	2.98e+00		4.72e-02	-2.16e-02	-1.84e-02
4.76e-02	2.98e+00	3.02e+00		4.76e-02	-2.32e-02	-1.92e-02
4.80e-02	2.98e+00	3.04e+00		4.80e-02	-2.32e-02	-2.00e-02
4.84e-02	2.98e+00	3.04e+00		4.84e-02	-2.24e-02	-1.92e-02
4.88e-02	3.02e+00	3.08e+00		4.88e-02	-2.24e-02	-1.84e-02
4.92e-02	3.02e+00	3.08e+00		4.92e-02	-2.32e-02	-2.00e-02
4.96e-02	3.04e+00	3.08e+00		4.96e-02	-2.40e-02	-1.92e-02
5.00e-02	3.04e+00	3.12e+00		5.00e-02	-2.24e-02	-1.92e-02
5.04e-02	3.08e+00	3.12e+00		5.04e-02	-2.32e-02	-2.00e-02
5.08e-02	3.06e+00	3.12e+00		5.08e-02	-2.32e-02	-1.92e-02
5.12e-02	3.10e+00	3.16e+00		5.12e-02	-2.24e-02	-1.84e-02
5.16e-02	3.12e+00	3.16e+00		5.16e-02	-2.24e-02	-1.92e-02
5.20e-02	3.12e+00	3.16e+00		5.20e-02	-2.32e-02	-2.00e-02
5.24e-02	3.14e+00	3.18e+00		5.24e-02	-2.40e-02	-2.08e-02
5.28e-02	3.16e+00	3.20e+00		5.28e-02	-2.32e-02	-2.00e-02
5.32e-02	3.16e+00	3.22e+00		5.32e-02	-2.32e-02	-2.00e-02
5.36e-02	3.18e+00	3.24e+00		5.36e-02	-2.24e-02	-2.00e-02
5.40e-02	3.18e+00	3.24e+00		5.40e-02	-2.40e-02	-2.00e-02
5.44e-02	3.20e+00	3.24e+00		5.44e-02	-2.48e-02	-2.08e-02
5.48e-02	3.20e+00	3.26e+00		5.48e-02	-2.32e-02	-2.00e-02
5.52e-02	3.24e+00	3.28e+00		5.52e-02	-2.88e-02	-2.16e-02
5.56e-02	3.24e+00	3.30e+00		5.56e-02	-3.44e-02	-2.72e-02
5.60e-02	3.22e+00	3.28e+00		5.60e-02	-3.44e-02	-2.24e-02
5.64e-02	3.22e+00	3.28e+00		5.64e-02	-2.48e-02	-2.08e-02
5.68e-02	3.20e+00	3.26e+00		5.68e-02	-2.32e-02	-2.00e-02
5.72e-02	3.20e+00	3.26e+00		5.72e-02	-2.32e-02	-2.00e-02
5.76e-02	3.18e+00	3.22e+00		5.76e-02	-2.24e-02	-1.92e-02
5.80e-02	3.16e+00	3.22e+00		5.80e-02	-2.32e-02	-1.92e-02
5.84e-02	3.16e+00	3.20e+00		5.84e-02	-2.32e-02	-1.84e-02
5.88e-02	3.14e+00	3.18e+00		5.88e-02	-2.24e-02	-1.92e-02
5.92e-02	3.12e+00	3.16e+00		5.92e-02	-2.24e-02	-2.00e-02
5.96e-02	3.12e+00	3.18e+00		5.96e-02	-2.24e-02	-1.92e-02
6.00e-02	3.08e+00	3.14e+00		6.00e-02	-2.24e-02	-1.92e-02
6.04e-02	3.08e+00	3.12e+00		6.04e-02	-2.16e-02	-1.84e-02
6.08e-02	3.06e+00	3.10e+00		6.08e-02	-2.16e-02	-1.84e-02
6.12e-02	3.08e+00	3.12e+00		6.12e-02	-2.32e-02	-2.00e-02
6.16e-02	3.02e+00	3.06e+00		6.16e-02	-2.24e-02	-1.92e-02
6.20e-02	3.02e+00	3.08e+00		6.20e-02	-2.32e-02	-2.00e-02
6.24e-02	3.00e+00	3.04e+00		6.24e-02	-2.40e-02	-2.00e-02
