"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	00:52:46	 		"Time         "	00:52:46	 
"X Scale      "	2.00E-02	 		"X Scale      "	2.00E-02	 
"X At 0%      "	6.07E-02	 		"X At 0%      "	6.07E-02	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"20 ms/Div"	 		"X Label      "	"20 ms/Div"	 
"Y Scale      "	1.00E+00	 		"Y Scale      "	1.00E-01	 
"Y At 50%     "	7.2E-01	 		"Y At 50%     "	1.08E-01	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 
6.07E-02	3.24E+00	3.28E+00		6.00E-02	-1.44E-02	-1.6E-02
6.07E-02	3.24E+00	3.28E+00		6.07E-02	-1.44E-01	-9.6E-02
6.15E-02	3.20E+00	3.24E+00		6.15E-02	-9.6E-02	-3.6E-02
6.23E-02	3.16E+00	3.24E+00		6.23E-02	-4.0E-02	-1.6E-02
6.31E-02	3.16E+00	3.20E+00		6.31E-02	-2.0E-02	-1.2E-02
6.39E-02	3.16E+00	3.24E+00		6.39E-02	-2.4E-02	-1.2E-02
6.47E-02	3.16E+00	3.20E+00		6.47E-02	-2.4E-02	-1.6E-02
6.55E-02	3.12E+00	3.20E+00		6.55E-02	-2.4E-02	-1.6E-02
6.63E-02	3.12E+00	3.16E+00		6.63E-02	-2.0E-02	-1.2E-02
6.71E-02	3.16E+00	3.20E+00		6.71E-02	-2.8E-02	-1.6E-02
6.79E-02	3.08E+00	3.16E+00		6.79E-02	-2.4E-02	-1.2E-02
6.87E-02	3.12E+00	3.16E+00		6.87E-02	-2.4E-02	-1.2E-02
6.95E-02	3.12E+00	3.16E+00		6.95E-02	-2.8E-02	-1.6E-02
7.03E-02	3.08E+00	3.16E+00		7.03E-02	-2.4E-02	-1.2E-02
7.11E-02	3.08E+00	3.12E+00		7.11E-02	-2.8E-02	-1.6E-02
7.19E-02	3.08E+00	3.12E+00		7.19E-02	-2.0E-02	-1.6E-02
7.27E-02	3.04E+00	3.08E+00		7.27E-02	-2.8E-02	-1.6E-02
7.35E-02	3.04E+00	3.08E+00		7.35E-02	-2.8E-02	-2.4E-02
7.43E-02	3.08E+00	3.12E+00		7.43E-02	-2.4E-02	-1.6E-02
7.51E-02	3.04E+00	3.08E+00		7.51E-02	-2.4E-02	-1.2E-02
7.59E-02	3.04E+00	3.08E+00		7.59E-02	-2.0E-02	-1.2E-02
7.67E-02	3.04E+00	3.12E+00		7.67E-02	-2.0E-02	-1.6E-02
7.75E-02	3.00E+00	3.04E+00		7.75E-02	-2.4E-02	-1.6E-02
7.83E-02	2.96E+00	3.04E+00		7.83E-02	-2.4E-02	-1.6E-02
7.91E-02	2.96E+00	3.00E+00		7.91E-02	-2.4E-02	-1.2E-02
7.99E-02	2.96E+00	3.00E+00		7.99E-02	-2.4E-02	-1.6E-02
8.07E-02	3.00E+00	3.04E+00		8.07E-02	-2.4E-02	-1.6E-02
8.15E-02	2.92E+00	3.00E+00		8.15E-02	-2.4E-02	-1.6E-02
8.23E-02	2.96E+00	3.00E+00		8.23E-02	-2.4E-02	-1.2E-02
8.31E-02	2.88E+00	2.96E+00		8.31E-02	-2.0E-02	-1.2E-02
8.39E-02	2.92E+00	2.96E+00		8.39E-02	-2.0E-02	-1.2E-02
8.47E-02	2.88E+00	2.96E+00		8.47E-02	-2.4E-02	-1.2E-02
8.55E-02	2.88E+00	2.96E+00		8.55E-02	-2.0E-02	-1.6E-02
8.63E-02	2.88E+00	2.96E+00		8.63E-02	-2.4E-02	-1.6E-02
8.71E-02	2.88E+00	2.88E+00		8.71E-02	-2.4E-02	-1.2E-02
8.79E-02	2.84E+00	2.92E+00		8.79E-02	-2.4E-02	-1.2E-02
8.87E-02	2.80E+00	2.84E+00		8.87E-02	-2.8E-02	-1.6E-02
8.95E-02	2.84E+00	2.92E+00		8.95E-02	-2.0E-02	-1.2E-02
9.03E-02	2.84E+00	2.88E+00		9.03E-02	-3.2E-02	-1.6E-02
