"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:48:23	 		"Time         "	01:48:23	 
"X Scale      "	1,00E-02	 		"X Scale      "	1,00E-02	 
"X At 0%      "	4,72E-02	 		"X At 0%      "	4,72E-02	 
"X Resolution "	2,500000E+01	 		"X Resolution "	2,500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5,0E-01	 		"Y Scale      "	2,00E-02	 
"Y At 50%     "	1,34E+00	 		"Y At 50%     "	-8,00E-02	 
"Y Resolution "	2,500000E+01	 		"Y Resolution "	2,500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

4,72E-02	2,96E+00	3,02E+00		4,72E-02	-2,24E-02	-2,00E-02
4,76E-02	2,96E+00	3,02E+00		4,76E-02	-2,32E-02	-2,00E-02
4,80E-02	3,00E+00	3,04E+00		4,80E-02	-2,56E-02	-2,00E-02
4,84E-02	3,00E+00	3,06E+00		4,84E-02	-2,32E-02	-2,00E-02
4,88E-02	3,00E+00	3,04E+00		4,88E-02	-2,48E-02	-2,08E-02
4,92E-02	3,02E+00	3,08E+00		4,92E-02	-2,40E-02	-2,08E-02
4,96E-02	3,06E+00	3,10E+00		4,96E-02	-2,48E-02	-2,08E-02
5,00E-02	3,06E+00	3,12E+00		5,00E-02	-2,40E-02	-2,16E-02
5,04E-02	3,08E+00	3,12E+00		5,04E-02	-2,40E-02	-2,16E-02
5,08E-02	3,08E+00	3,12E+00		5,08E-02	-2,40E-02	-2,08E-02
5,12E-02	3,10E+00	3,14E+00		5,12E-02	-2,40E-02	-2,08E-02
5,16E-02	3,12E+00	3,16E+00		5,16E-02	-2,32E-02	-2,00E-02
5,20E-02	3,12E+00	3,18E+00		5,20E-02	-2,32E-02	-2,00E-02
5,24E-02	3,12E+00	3,18E+00		5,24E-02	-2,24E-02	-2,00E-02
5,28E-02	3,16E+00	3,20E+00		5,28E-02	-2,32E-02	-2,00E-02
5,32E-02	3,16E+00	3,20E+00		5,32E-02	-2,24E-02	-1,92E-02
5,36E-02	3,20E+00	3,24E+00		5,36E-02	-2,32E-02	-1,92E-02
5,40E-02	3,18E+00	3,24E+00		5,40E-02	-2,24E-02	-1,92E-02
5,44E-02	3,22E+00	3,26E+00		5,44E-02	-2,24E-02	-1,92E-02
5,48E-02	3,24E+00	3,28E+00		5,48E-02	-2,24E-02	-1,92E-02
5,52E-02	3,24E+00	3,30E+00		5,52E-02	-2,24E-02	-1,92E-02
5,56E-02	3,26E+00	3,30E+00		5,56E-02	-2,48E-02	-2,00E-02
5,60E-02	3,22E+00	3,28E+00		5,60E-02	-2,48E-02	-1,92E-02
5,64E-02	3,24E+00	3,28E+00		5,64E-02	-2,16E-02	-1,92E-02
5,68E-02	3,18E+00	3,24E+00		5,68E-02	-2,16E-02	-1,76E-02
5,72E-02	3,18E+00	3,22E+00		5,72E-02	-2,24E-02	-2,00E-02
5,76E-02	3,18E+00	3,24E+00		5,76E-02	-2,24E-02	-1,84E-02
5,80E-02	3,16E+00	3,22E+00		5,80E-02	-2,32E-02	-2,00E-02
5,84E-02	3,14E+00	3,18E+00		5,84E-02	-2,32E-02	-2,00E-02
5,88E-02	3,14E+00	3,20E+00		5,88E-02	-2,40E-02	-2,00E-02
5,92E-02	3,12E+00	3,16E+00		5,92E-02	-2,32E-02	-2,08E-02
5,96E-02	3,08E+00	3,14E+00		5,96E-02	-2,40E-02	-2,08E-02
6,00E-02	3,08E+00	3,14E+00		6,00E-02	-2,32E-02	-2,08E-02
6,04E-02	3,08E+00	3,12E+00		6,04E-02	-2,32E-02	-1,92E-02
6,08E-02	3,08E+00	3,14E+00		6,08E-02	-2,40E-02	-2,00E-02
6,12E-02	3,04E+00	3,10E+00		6,12E-02	-2,40E-02	-2,00E-02
6,16E-02	3,04E+00	3,08E+00		6,16E-02	-2,32E-02	-2,00E-02
6,20E-02	3,00E+00	3,06E+00		6,20E-02	-2,24E-02	-1,92E-02
6,24E-02	3,00E+00	3,04E+00		6,24E-02	-2,24E-02	-1,92E-02
