#I[mA]  dI[mA]  P[microW]   dP[microW]
80.4    0.1 3.00e3  0.01e3
77.3    0.1 2.375e3 0.003e3 
75.4    0.1 2.000e3 0.001e3
72.3    0.1 1.393e3 0.002e3
69.9    0.1 0.923e3 0.002e3
67.4    0.1 0.431e3 0.002e3
65.3    0.1 138.8   0.002
63.4    0.1 82.3    0.1
61.4    0.1 63.8    0.1
60.1    0.1 56.5    0.1
58.8    0.1 51.2    0.1
57.2    0.1 46.2    0.1
55.1    0.1 40.8    0.1
52.6    0.1 35.7    0.1
50.1    0.1 31.7    0.1
47.6    0.1 28.1    0.1
45.0    0.1 24.93   0.01
40.1    0.1 19.94   0.01
35.0    0.1 15.65   0.01
30.0    0.1 12.15   0.01
25.1    0.1 9.21    0.01
